Using cuda for training.
Training:Epoch[000/030] Iteration[001/182] Loss: 0.6937 Acc:50.33%
Training:Epoch[000/030] Iteration[002/182] Loss: 0.8329 Acc:49.83%
Training:Epoch[000/030] Iteration[003/182] Loss: 0.7898 Acc:49.88%
Training:Epoch[000/030] Iteration[004/182] Loss: 0.7081 Acc:49.81%
Training:Epoch[000/030] Iteration[005/182] Loss: 0.6938 Acc:50.02%
Training:Epoch[000/030] Iteration[006/182] Loss: 0.7057 Acc:50.07%
Training:Epoch[000/030] Iteration[007/182] Loss: 0.7008 Acc:49.99%
Training:Epoch[000/030] Iteration[008/182] Loss: 0.6874 Acc:50.08%
Training:Epoch[000/030] Iteration[009/182] Loss: 0.6837 Acc:51.18%
Training:Epoch[000/030] Iteration[010/182] Loss: 0.6826 Acc:51.68%
Training:Epoch[000/030] Iteration[011/182] Loss: 0.6778 Acc:52.15%
Training:Epoch[000/030] Iteration[012/182] Loss: 0.6673 Acc:52.94%
Training:Epoch[000/030] Iteration[013/182] Loss: 0.6468 Acc:54.10%
Training:Epoch[000/030] Iteration[014/182] Loss: 0.6306 Acc:55.06%
Training:Epoch[000/030] Iteration[015/182] Loss: 0.6113 Acc:55.93%
Training:Epoch[000/030] Iteration[016/182] Loss: 0.5895 Acc:56.76%
Training:Epoch[000/030] Iteration[017/182] Loss: 0.5627 Acc:57.61%
Training:Epoch[000/030] Iteration[018/182] Loss: 0.5344 Acc:58.47%
Training:Epoch[000/030] Iteration[019/182] Loss: 0.5330 Acc:59.22%
Training:Epoch[000/030] Iteration[020/182] Loss: 0.5264 Acc:59.93%
Training:Epoch[000/030] Iteration[021/182] Loss: 0.5213 Acc:60.60%
Training:Epoch[000/030] Iteration[022/182] Loss: 0.5226 Acc:61.23%
Training:Epoch[000/030] Iteration[023/182] Loss: 0.5213 Acc:61.80%
Training:Epoch[000/030] Iteration[024/182] Loss: 0.5128 Acc:62.35%
Training:Epoch[000/030] Iteration[025/182] Loss: 0.4972 Acc:62.88%
Training:Epoch[000/030] Iteration[026/182] Loss: 0.4889 Acc:63.38%
Training:Epoch[000/030] Iteration[027/182] Loss: 0.4908 Acc:63.86%
Training:Epoch[000/030] Iteration[028/182] Loss: 0.4875 Acc:64.30%
Training:Epoch[000/030] Iteration[029/182] Loss: 0.4783 Acc:64.75%
Training:Epoch[000/030] Iteration[030/182] Loss: 0.4739 Acc:65.19%
Training:Epoch[000/030] Iteration[031/182] Loss: 0.4666 Acc:65.60%
Training:Epoch[000/030] Iteration[032/182] Loss: 0.4697 Acc:65.97%
Training:Epoch[000/030] Iteration[033/182] Loss: 0.4653 Acc:66.33%
Training:Epoch[000/030] Iteration[034/182] Loss: 0.4515 Acc:66.69%
Training:Epoch[000/030] Iteration[035/182] Loss: 0.4552 Acc:67.03%
Training:Epoch[000/030] Iteration[036/182] Loss: 0.4624 Acc:67.35%
Training:Epoch[000/030] Iteration[037/182] Loss: 0.4577 Acc:67.65%
Training:Epoch[000/030] Iteration[038/182] Loss: 0.4522 Acc:67.93%
Training:Epoch[000/030] Iteration[039/182] Loss: 0.4384 Acc:68.23%
Training:Epoch[000/030] Iteration[040/182] Loss: 0.4348 Acc:68.51%
Training:Epoch[000/030] Iteration[041/182] Loss: 0.4449 Acc:68.77%
Training:Epoch[000/030] Iteration[042/182] Loss: 0.4436 Acc:69.02%
Training:Epoch[000/030] Iteration[043/182] Loss: 0.4396 Acc:69.26%
Training:Epoch[000/030] Iteration[044/182] Loss: 0.4305 Acc:69.50%
Training:Epoch[000/030] Iteration[045/182] Loss: 0.4253 Acc:69.75%
Training:Epoch[000/030] Iteration[046/182] Loss: 0.4214 Acc:70.00%
Training:Epoch[000/030] Iteration[047/182] Loss: 0.4194 Acc:70.22%
Training:Epoch[000/030] Iteration[048/182] Loss: 0.4105 Acc:70.45%
Training:Epoch[000/030] Iteration[049/182] Loss: 0.4132 Acc:70.67%
Training:Epoch[000/030] Iteration[050/182] Loss: 0.3995 Acc:70.90%
Training:Epoch[000/030] Iteration[051/182] Loss: 0.3970 Acc:71.11%
Training:Epoch[000/030] Iteration[052/182] Loss: 0.4010 Acc:71.32%
Training:Epoch[000/030] Iteration[053/182] Loss: 0.3975 Acc:71.53%
Training:Epoch[000/030] Iteration[054/182] Loss: 0.4020 Acc:71.72%
Training:Epoch[000/030] Iteration[055/182] Loss: 0.3884 Acc:71.92%
Training:Epoch[000/030] Iteration[056/182] Loss: 0.3717 Acc:72.12%
Training:Epoch[000/030] Iteration[057/182] Loss: 0.3767 Acc:72.31%
Training:Epoch[000/030] Iteration[058/182] Loss: 0.3764 Acc:72.50%
Training:Epoch[000/030] Iteration[059/182] Loss: 0.3784 Acc:72.68%
Training:Epoch[000/030] Iteration[060/182] Loss: 0.3792 Acc:72.85%
Training:Epoch[000/030] Iteration[061/182] Loss: 0.3634 Acc:73.03%
Training:Epoch[000/030] Iteration[062/182] Loss: 0.3516 Acc:73.21%
Training:Epoch[000/030] Iteration[063/182] Loss: 0.3507 Acc:73.39%
Training:Epoch[000/030] Iteration[064/182] Loss: 0.3514 Acc:73.56%
Training:Epoch[000/030] Iteration[065/182] Loss: 0.3581 Acc:73.72%
Training:Epoch[000/030] Iteration[066/182] Loss: 0.3537 Acc:73.88%
Training:Epoch[000/030] Iteration[067/182] Loss: 0.3362 Acc:74.05%
Training:Epoch[000/030] Iteration[068/182] Loss: 0.3495 Acc:74.21%
Training:Epoch[000/030] Iteration[069/182] Loss: 0.3421 Acc:74.37%
Training:Epoch[000/030] Iteration[070/182] Loss: 0.3405 Acc:74.52%
Training:Epoch[000/030] Iteration[071/182] Loss: 0.3555 Acc:74.66%
